FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/12,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
3ZG,Sürdürülen Faaliyetlerden Seyreltilmiş Hisse Başına Kazanç,Earnings per Share from Discontinued Operations,ALFAS,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,-0,0,-0
4B,Amortisman Giderleri,Depreciation & Amortization,ALFAS,172817,116366,195751,273065,48633,91682,129465,803537,262809,518730,621000,1659642,567727,1277598,2544911,3836964,1139689,2415397,4135084
4BA,Kıdem Tazminatı,Severance Payments,ALFAS,24400,0,0,27218,5953,13260,28838,107021,185626,40918,71378,184681,46632,95139,200891,295102,71597,162850,274128
4BB,Finansman Giderleri,Financial Expenses,ALFAS,-1510862,-446810,-1006921,-1241569,-262146,-794394,-1263495,-13729806,-7377900,-6907642,-28957051,-33047776,-8975647,-10653827,-22817450,-24853976,-6393244,-15732027,-25867119
4BC,Yurtiçi Satışlar,Domestic Sales,ALFAS,33314857,19756233,28703479,50269482,17652785,46113124,67736601,250823177,120776304,248190159,357242144,470568950,67857776,149819915,216532204,290575581,46617085,92467770,141676647
4BD,Yurtdışı Satışlar,Export Sales,ALFAS,230133,232832,234478,452991,527960,912779,1216370,2681032,0,54845,1850464,2623748,114143,1269923,1719978,2782549,636311,967794,5961820
4BE,Net Yabancı Para Pozisyonu,Net Fx Position,ALFAS,552479,0,0,-10150553,0,-3954248,-12353676,-33712717,-28758110,-63558813,-35266152,-55345761,-29503361,-37649553,-60208353,-51371700,-31274912,-32735798,-56498392
4BEA,Parasal net yabancı para varlık/(yükümlülük) pozisyonu,Parasal net yabancı para varlık/(yükümlülük) pozisyonu,ALFAS,552479,0,0,-10150553,0,-3954248,-12353676,-33712717,-28758110,-63558813,-35266152,-55345761,-29503361,-37649553,-60208353,-51371700,-31274912,-32735798,-56498392
4BEB,Net YPP (Hedge Dahil),Net YPP (Hedge Dahil),ALFAS,552479,0,0,-10150553,0,-3954248,-12353676,-33712717,-28758110,-63558813,-35266152,-55345761,-29503361,-37649553,-60208353,-51371700,-31274912,-32735798,-56498392
4C,İşletme Faaliyetlerinden Kaynaklanan Net Nakit,Net Cash from Operations,ALFAS,4071578,859541,3593767,13344837,2794746,14343806,23334447,54638785,11558749,19526709,-856876,-42479170,-30726968,-20437708,47531431,9058125,-14087700,-27490200,13418968
4CA,Düzeltme Öncesi Kar,Earnings Before Adjustments,ALFAS,5524487,724069,3308091,5423168,2622666,9332002,17219720,49113119,14885020,41757705,54216382,62961336,-17727699,8944895,10139405,7537578,-614077,954261,-399122
4CAA,Düzeltmeler:,Adjustments:,ALFAS,940053,580706,-96313,385729,75631,-1731548,-6939201,-8738971,1145579,-23647887,-7735420,-59623137,-18878861,-4471471,50201289,21413540,-512945,-5833533,13684169
4CAB,Amortisman & İtfa Payları,Depreciation & Amortisation,ALFAS,172817,116366,195751,273065,48633,91682,129465,803537,262809,518730,621000,1659642,567727,1277598,2544911,3836964,1139689,2415397,4135084
4CAC,Karşılıklardaki Değişim,Change in Provisions,ALFAS,32073,55629,43516,45985,24743,34887,49646,105241,56767,52331,104666,255024,33818,99609,85543,221549,98858,119100,191451
4CAD,Diğer Gelir/ Gider,Other Income / Expense,ALFAS,735163,408711,-335581,66678,2255,-1858117,-7118312,-9647749,-1546610,-25785986,-11037071,-13759015,-193677,1012924,-1400016,1426329,5726417,-3799925,4586721
4CAE,İşletme Sermayesinde Değişikler Öncesi Faaliyet Karı (+),Operating Profit Before Changes in Working Capital (+),ALFAS,6464540,1304775,3211779,5808896,2698297,7600454,10280519,40374148,16030598,18109817,46480962,3338199,-36606560,4473425,60340694,28951118,-1127022,-4879272,13285046
4CAF,İşletme Sermayesindeki Değişiklikler,Change in Working Capital,ALFAS,-2092337,-450232,412818,7734138,105027,6899126,13237329,14603882,-2145160,7675327,-43961114,-37818466,7783814,-23665308,-12783861,-16315414,-14739607,-22363351,-874499
